SecondsFromStart,FramesFromStart,FoxesPopulation,RabbitPopulation,RabbitSpeedMedian,RabbitSensoryRangeMedian,RabbitFertilityMedian,FoxSpeedMedian,FoxSensoryRangeMedian,FoxFertilityMedian,FoxesDiedOfHunger,FoxesDiedOfThirst,RabbitsDiedOfHunger,RabbitsDiedOfThirst,RabbitsDiedOfBeingEaten
53.92667,10400,0,4,69,52,44,,,,0,0,0,0,0
54.19128,10450,0,4,69,52,44,,,,0,0,0,0,0
54.42893,10500,0,4,69,52,44,,,,0,0,0,0,0
54.68744,10550,0,4,69,52,44,,,,0,0,0,0,0
54.91338,10600,0,4,69,52,44,,,,0,0,0,0,0
55.13907,10650,0,4,69,52,44,,,,0,0,0,0,0
55.37697,10700,0,4,69,52,44,,,,0,0,0,0,0
55.59675,10750,0,4,69,52,44,,,,0,0,0,0,0
55.83086,10800,0,4,69,52,44,,,,0,0,0,0,0
56.07275,10850,0,4,69,52,44,,,,0,0,0,0,0
56.29081,10900,0,4,69,52,44,,,,0,0,0,0,0
56.50812,10950,0,4,69,52,44,,,,0,0,0,0,0
56.73471,11000,0,4,69,52,44,,,,0,0,0,0,0
56.9935,11050,0,4,69,52,44,,,,0,0,0,0,0
57.22458,11100,0,4,69,52,44,,,,0,0,0,0,0
57.47989,11150,0,4,69,52,44,,,,0,0,0,0,0
57.70982,11200,0,4,69,52,44,,,,0,0,0,0,0
57.97527,11250,0,4,69,52,44,,,,0,0,0,0,0
58.20693,11300,0,4,69,52,44,,,,0,0,0,0,0
58.43656,11350,0,4,69,52,44,,,,0,0,0,0,0
58.71382,11400,0,4,69,52,44,,,,0,0,0,0,0
58.94091,11450,0,4,69,52,44,,,,0,0,0,0,0
59.1914,11500,0,4,69,52,44,,,,0,0,0,0,0
59.42051,11550,0,4,69,52,44,,,,0,0,0,0,0
59.67372,11600,0,4,69,52,44,,,,0,0,0,0,0
59.90147,11650,0,4,69,52,44,,,,0,0,0,0,0
60.14285,11700,0,4,69,52,44,,,,0,0,0,0,0
60.39682,11750,0,4,69,52,44,,,,0,0,0,0,0
60.62772,11800,0,4,69,52,44,,,,0,0,0,0,0
60.8791,11850,0,4,69,52,44,,,,0,0,0,0,0
61.10744,11900,0,4,69,52,44,,,,0,0,0,0,0
61.33664,11950,0,4,69,52,44,,,,0,0,0,0,0
61.58917,12000,0,4,69,52,44,,,,0,0,0,0,0
61.81341,12050,0,4,69,52,44,,,,0,0,0,0,0
62.03129,12100,0,4,69,52,44,,,,0,0,0,0,0
62.28169,12150,0,4,69,52,44,,,,0,0,0,0,0
62.49704,12200,0,4,69,52,44,,,,0,0,0,0,0
62.71305,12250,0,4,69,52,44,,,,0,0,0,0,0
62.92782,12300,0,4,69,52,44,,,,0,0,0,0,0
63.16319,12350,0,4,69,52,44,,,,0,0,0,0,0
